runDt,postingDate,refDocNo,vndrNo,fundName,fundGroupDescr,efundDesc,amount,wait,debt,bond,total,bankNm,pmntStts,batchNo,mophId,mophDesc,budgetSource
2026-01-09,25690109,DNAP6904110004,0000010670,กองทุนเอดส์,กองทุนเอดส์,งบบริการป้องกันการติดเชื้อ HIV,368048,0,0,0,368048,ธนาคารกรุงไทย จำกัด (มหาชน),P,0615,4301020105.222,รายได้กองทุน UC เฉพาะโรคอื่น,UC
2026-01-09,25690109,DNAP6904110004,0000010670,กองทุนเอดส์,กองทุนเอดส์,งบค่าบริการดูแลรักษาด้วยยาต้านและบริการที่เกี่ยวข้อง,358775,0,0,0,358775,ธนาคารกรุงไทย จำกัด (มหาชน),P,0615,4301020105.222,รายได้กองทุน UC เฉพาะโรคอื่น,UC
2025-12-26,25681226,DKTP6908120008,0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),120620,0,0,0,120620,ธนาคารกรุงไทย จำกัด (มหาชน),P,0528C,4301020105.223,รายได้กองทุน UC-P&P อื่น,UC
2025-12-24,25681224,6812_OP_01,0000010670,ค่าบริการสาธารณสุขเพิ่มเติมสำหรับบริการระดับปฐมภูมิ,ค่าบริการสาธารณสุขเพิ่มเติมสำหรับบริการระดับปฐมภูมิ,ค่าบริการสาธารณสุขเพิ่มเติมสำหรับบริการระดับปฐมภูมิ,42420,0,0,0,42420,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,4301020105.228,รายได้กองทุน UC- อื่น,UC
2025-12-24,25681224,6812_OP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,6585848.79,0,0,0,6585848.79,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,4301020105.228,รายได้กองทุน UC- อื่น,UC
2025-12-24,25681224,6812_OP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,425574.51,0,0,0,425574.51,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-24,25681224,6812_OP_01,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,130000,0,0,0,130000,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-24,25681224,6812_OP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,191865,0,0,0,191865,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,1102050101.216/222,ลูกหนี้ค่ารักษา UC-OP-บริการเฉพาะ CR/OP - REFER,UC
2025-12-24,25681224,6812_OP_01,0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),768790,0,0,0,768790,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,4301020105.223,รายได้กองทุน UC-P&P อื่น,UC
2025-12-24,25681224,6812_OP_01,0000010670,บริการควบคุมป้องกันและรักษาผู้ป่วยโรคเบาหวานและความดันโลหิตสูง,บริการควบคุมป้องกันและรักษาผู้ป่วยโรคเบาหวานและความดันโลหิตสูง,บริการควบคุมป้องกันและรักษาผู้ป่วยโรคเบาหวานและความดันโลหิตสูง,100396,0,0,0,100396,ธนาคารกรุงไทย จำกัด (มหาชน),P,0492,4301020105.222,รายได้กองทุน UC เฉพาะโรคอื่น,UC
